path;filename;word or phrase to speak
;disarm.wav;désarmé
;alt.wav;altitude
;moteur.wav;température moteur
;tctrl.wav;température contrôleur
;gearup.wav;train rentré
;geardn.wav;train sorti
;flapup.wav;volets rentrés
;flapdn.wav;volets sortis
;attero.wav;atterrissage
;trnon.wav;écolage
;trnoff.wav;fin écolage
;engoff.wav;moteur coupé
;spdmod.wav;high. speed. mode, active
;thmmod.wav;thermal. mode, on
;nrmmod.wav;normal. mode, on
;lnding.wav;landing. mode, on
;acro.wav;mode acro
;fm-1.wav;mode de vol un
;fm-2.wav;mode de vol deux
;fm-3.wav;mode de vol trois
;fm-4.wav;mode de vol quatre
;fm-5.wav;mode de vol 5
;fm-6.wav;mode de vol 6
;fm-7.wav;mode de vol sept
;fm-8.wav;mode de vol 8
;vrion.wav;vario activé
;vrioff.wav;vario désactivé
;fm-pwr.wav;mode de vol puissance
;fm-lnd.wav;mode de vol attérissage
;fm-flt.wav;mode de vol amérissage
;fm-spd.wav;mode de vol vitesse
;fm-fst.wav;mode de vol rapide
;fm-nrm.wav;mode de vol normal
;fm-crs.wav;mode de vol de croisière
;fm-acr.wav;mode de vol acro
;fm-rce.wav;mode de vol course
;fm-lch.wav;mode de vol lancé
;fm-png.wav;mode de vol ping
;fm-thm.wav;mode de vol thermique
;fm-thl.wav;mode de vol thermique gauche
;fm-thr.wav;mode de vol thermique droit
