"String ID","Source text","Translation","Context","Path","Filename"
"164","Willkommen bei etsch tee ex","Willkommen bei etsch tee ex","","SYSTEM","hello.wav"
"165","Funksignal schwach","Funksignal schwach","","SYSTEM","rssi_org.wav"
"166","Funksignal kritisch","Funksignal kritisch","","SYSTEM","rssi_red.wav"
"167","Senderantenne fehlerhaft","Senderantenne fehlerhaft","","SYSTEM","swr_red.wav"
"168","Telemetrie verloren","Telemetrie verloren","","SYSTEM","telemko.wav"
"169","Telemetrie wiederhergestellt","Telemetrie wiederhergestellt","","SYSTEM","telemok.wav"
"170","Schülersignal verloren","Schülersignal verloren","","SYSTEM","trainko.wav"
"171","Schülersignal wiederhergestellt","Schülersignal wiederhergestellt","","SYSTEM","trainok.wav"
"172","Sensor verloren","Sensor verloren","","SYSTEM","sensorko.wav"
"173","servo Überlast","servo Überlast","","SYSTEM","servoko.wav"
"174","Leistungs Überlast","Leistungs Überlast","","SYSTEM","rxko.wav"
"175","Empfänger noch verbunden","Empfänger noch verbunden","","SYSTEM","modelpwr.wav"
"176","Fehler","Fehler","","SYSTEM","error.wav"
"177","Senderstrom zu hoch","Senderstrom zu hoch","","SYSTEM","highmah.wav"
"178","Sendertemperatur zu hoch","Sendertemperatur zu hoch","","SYSTEM","hightemp.wav"
"179","Uhr","Uhr","","SYSTEM","0134.wav"
"180","Uhr","Uhr","","SYSTEM","0135.wav"
"181","Sender","Sender","","SYSTEM","0136.wav"
"182","Empfang","Empfang","","SYSTEM","0137.wav"
"183","A1","A1","","SYSTEM","0138.wav"
"184","A2","A2","","SYSTEM","0139.wav"
"185","Hoehe","Hoehe","","SYSTEM","0140.wav"
"186","Motor","Motor","","SYSTEM","0141.wav"
"187","Treibstoff","Treibstoff","","SYSTEM","0142.wav"
"188","Temperatur","Temperatur","","SYSTEM","0143.wav"
"189","Temperatur","Temperatur","","SYSTEM","0144.wav"
"190","Geschwindigkeit","Geschwindigkeit","","SYSTEM","0145.wav"
"191","Entfernung","Entfernung","","SYSTEM","0146.wav"
"192","Höhe","Höhe","","SYSTEM","0147.wav"
"193","Lipo-Zelle","Lipo-Zelle","","SYSTEM","0148.wav"
"194","Zellen gesamt","Zellen gesamt","","SYSTEM","0149.wav"
"195","Spannung","Spannung","","SYSTEM","0150.wav"
"196","Strom","Strom","","SYSTEM","0151.wav"
"197","Verbrauch","Verbrauch","","SYSTEM","0152.wav"
"198","Power","Power","","SYSTEM","0153.wav"
"199","Beschleunigung X","Beschleunigung X","","SYSTEM","0154.wav"
"200","Beschleunigung Y","Beschleunigung Y","","SYSTEM","0155.wav"
"201","Beschleunigung Z","Beschleunigung Z","","SYSTEM","0156.wav"
"202","Richtung","Richtung","","SYSTEM","0157.wav"
"203","Variometer","Variometer","","SYSTEM","0158.wav"
"204","Minimum","Minimum","","SYSTEM","0159.wav"
"205","Maximum","Maximum","","SYSTEM","0160.wav"
"206","Fahrwerk eingefahren","Fahrwerk eingefahren","","","gearup.wav"
"207","Fahrwerk ausgefahren","Fahrwerk ausgefahren","","","geardn.wav"
"208","Klappen eingefahren","Klappen eingefahren","","","flapup.wav"
"209","Klappen ausgefahren","Klappen ausgefahren","","","flapdn.wav"
"210","Lande-Modus","Lande-Modus","","","lnding.wav"
